Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
2090,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 281920279 151237944],Other PFASs,Perfluoroalkanes,,10,,12
2091,OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  36163133 ... 291431448  23638503  71007262],PFAA precursors,PolyFEACs,,10,,12
2092,CCCCCCCCCCCCCCCCCCNC(=O)c1ccc(Cc2ccc(C(=O)NCCN(CCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,CCCCCCCCCCCCCCCCCCNC(=O)C1=CC=C(CC2=CC=C(C=C2)C(=O)NCCN(CCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[107223494  33988699  17313015 ... 136323818 138388023 107766604],Other PFASs,Aromatic PFASs,,10,,12
2093,Nc1c(Br)cc(C(F)(C(F)(F)F)C(F)(F)F)c2ncccc12,NC1=C(Br)C=C(C2=C1C=CC=N2)C(F)(C(F)(F)F)C(F)(F)F,[238422210  79512453  63689098 ...  17799215 111883495  38183906],Other PFASs,Aromatic PFASs,,10,,12
2094,O=C(O)CC(CC(=O)O)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CC(CC(O)=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 337706872 107816900 ...  39575178 281920279  13645418],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2095,CCCN(CC1CO1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCN(CC1CO1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[209909902  33988699  17313015 ...  56341859 138388023 151237944],"PFAA precursors, cyclic","PASF-based substances, cyclic",,10,,12
2096,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[K+].[O-]C(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[166670721  33988699  17313015 ... 136323818  90036311 110011752],PFAA precursors,PASF-based substances,,10,,12
2097,CC(C)(C)C(O)=CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[Eu].[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452  48791578  19201563 ... 312840142 124409255  75695922],PFAA precursors,PFAK derivatives,,10,,12
2098,CC(C)(C)C(O)=CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[Eu].[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452  48791578  19201563 ... 312840142 124409255  75695922],PFAA precursors,PFAK derivatives,,10,,12
2099,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,[250618452 634028201  87855067 ...  37687752 281920279 151237944],PFAAs,PFdiCAs,0.01,1,,6
2100,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,[   853465   9635651 232751249 ... 203602024  69108455  36136210],Other PFASs,Perfluoroalkylethers,,10,,12
2101,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2102,CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOP(O)(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  55416695  29302852],PFAA precursors,PASF-based substances,,10,,12
2103,OCC(O)CC(F)(F)C(F)(F)C(F)(F)F,OCC(O)CC(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106 107816900 ... 611624164  33758967 151237944],PFAA precursors,PolyFACs,,10,,12
2104,NCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 95360230  33988699  97181807 ... 575868148 237070775 151237944],Other PFASs,others,,10,,12
2105,[N-]=[N+]=C(C(=O)c1ccccc1)C(=O)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)C(=[N+]=[N-])C(=O)C1=CC=CC=C1,[142315565 111791931 105751502 ... 215679073  13677911  29516144],Other PFASs,Aromatic PFASs,,10,,12
2106,CCCCC/C=C(\F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC\C=C(/F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 107567300 107816900 ...  65874932 135379655 151237944],PFAA precursors,PolyFAenes,,10,,12
