RDKIT_SMILES,SMILES,MHFP
O=c1cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)oc2ccccc12,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC(=O)C2=CC=CC=C2O1,[ 46692570  39139378  63689098 ...  69892559 107457159 107724166]
O=C(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1cccnc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C1=CC=CN=C1,[250618452  15928446  78177578 ...  17799215  43796935 151237944]
O=C(Nc1ccccc1I)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC=CC=C1I,[ 42684322   8492060 107816900 ...  54552999 100272231 132511772]
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908]
O=[N+]([O-])OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-][N+](=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 144813810 237958519  22248924]
O=C(O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 181809277 107816900 ...  88808901 168823863 151237944]
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 133635739 138388023 151237944]
O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,CC[NH+](CC)CC.[O-]C(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 189837130  23638503  50610154]
CCCS(=O)(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,CCCS(=O)(=O)C1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 31840531  34348060  17313015 ... 112546150 336304663  11852866]
O=C(Nc1ccc(Cl)c(Cl)c1)C(F)(F)C(F)(F)C(F)(F)F,[H]N(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=CC(Cl)=C(Cl)C=C1,[250618452   8492060 107816900 ...  25560912  98535143 151237944]
