SMILES,RDKIT_SMILES,RDKIT_SMILES_help
CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea8a0>
O[Si](O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O[Si](O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea850>
OC(=O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,O=C(O)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea170>
FC(F)(F)C(F)(F)C(F)(F)C1=CC=CN1,FC(F)(F)C(F)(F)C(F)(F)c1ccc[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea4e0>
COC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea440>
OC(=O)C1=CC=NC(=C1)C(F)(F)C(F)(F)C(F)(F)F,O=C(O)c1ccnc(C(F)(F)C(F)(F)C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea210>
F\C(OC(F)(F)F)=C(\F)C(F)(F)F,F/C(OC(F)(F)F)=C(/F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea5d0>
CC(=C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eaad0>
CC1(COCC(F)(F)C(F)(F)C(F)(F)F)COC1,CC1(COCC(F)(F)C(F)(F)C(F)(F)F)COC1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eaf80>
OC(=O)C(\F)=C(/F)C(F)(C(F)(F)F)C(F)(F)F,O=C(O)/C(F)=C(\F)C(F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ead50>
CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea1c0>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCOC(=O)C=C,C=CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eaf30>
CCCN(CCOP(O)(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea3f0>
FC1=CC(F)=C(F)C(=C1F)C(F)(F)C(F)(F)C(F)(F)F,Fc1cc(F)c(F)c(C(F)(F)C(F)(F)C(F)(F)F)c1F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea800>
FC(=O)C(F)(OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,O=C(F)C(F)(OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea990>
FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C1(F)F,FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C1(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea350>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea300>
OC(COC1=CC=CC=C1)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(COc1ccccc1)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eaa80>
CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ead00>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)NC1=CC=CC=C1,O=C(Nc1ccccc1)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea940>
CCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea670>
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ea6c0>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eaa30>
[O-][N+](=O)C1=CC(=C2C(=C1)C(=O)C1=C2C(=CC(=C1)[N+]([O-])=O)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[N+]([O-])=O,O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1cc([N+](=O)[O-])cc2c1-c1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C2=O,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eae40>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eab70>
CCCC(=O)C(F)(F)C(F)(F)C(F)(F)F,CCCC(=O)C(F)(F)C(F)(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2eabc0>
