Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,docking_score,range of docking_score
3092,O=S(=O)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(F)(=O)=O,[506844441  71013085  13956772 ... 253630925 101031895  36136210],Other PFASs,Polyfluoroalkyl ethers and derivatives,-5.466,9
3093,C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801 107816900 ...  88808901  43796935  22160906],PFAA precursors,n:2 fluorotelomer-based substances,-10.564,4
3094,CCCS(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,CCCS(=O)C1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636  34348060  17313015 ... 183967038 103589479  11852866],Other PFASs,Aromatic PFASs,-9.007,5
3095,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 72461987 104111782  97181807 ... 489654279 101296679 151237944],PFAA precursors,HFEs,-6.713,8
3096,FC(F)(F)C(F)(F)C(F)(F)c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1,[250618452 227868861 107816900 ... 176223008 281920279  29516144],Other PFASs,Aromatic PFASs,-8.613,6
3097,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc([Si](Cl)(Cl)Cl)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,[ 53940782 104111782  26425151 ... 162895639 120937111 151237944],Other PFASs,Aromatic PFASs,,18
3098,FC(F)(F)C(F)(F)C(F)(F)COB(OCC(F)(F)C(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)COB(OCC(F)(F)C(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)C(F)(F)F,[  5738346  73299756 107816900 ...  25906172   9649831  46460802],Other PFASs,"(Hg,Sn,Ge,Sb,Se,B) PFASs",,18
3099,N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#N,[175312219 104111782  97181807 ... 292858329  92635079  37027116],Other PFASs,others,-7.879,7
3100,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[127781979 104111782  97181807 ...  16631887  43796935  10360726],PFAA precursors,PolyFACs,-9.413,5
3101,O=C(C=CC(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C=CC(=O)C1=CC=CC=C1,[216993070 111791931 105751502 ... 142684626  14046279  29516144],Other PFASs,Aromatic PFASs,-9.415,5
3102,O=C(N1CCOCC1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)N1CCOCC1,[250618452   8492060  12560177 ... 194511214  15151879 151237944],"Other PFASs, cyclic","Amide derivatives, cyclic",-7.649,7
3103,OC(CI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(CI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 95360230  94303270  97181807 ... 102966111 281920279  54190520],PFAA precursors,PolyFACs,-8.837,6
